CASE_NUM,COHORT,GEOMETRY,FLOW_RATE,PERC_DS,RAMP_ANGLE,VISCOUS_MODEL,ARTERIAL_VOLUME,TIMESTEP_SIZE,NO_TIMESTEPS
1,1,1,4,20,30,TURBULENT,7.24236E-07,0.000512004,1768.139778
2,1,1,3.75,20,30,TURBULENT,7.24236E-07,0.000546138,1768.139778
3,1,1,3.5,20,30,TURBULENT,7.24236E-07,0.000585148,1768.139778
4,1,1,3.25,20,30,TURBULENT,7.24236E-07,0.000630159,1768.139778
5,1,1,3,20,30,TURBULENT,7.24236E-07,0.000682672,1768.139778
6,1,1,2.75,20,30,TURBULENT,7.24236E-07,0.000744733,1768.139778
7,1,1,2.5,20,30,TURBULENT,7.24236E-07,0.000819207,1768.139778
8,1,1,2.25,20,30,TURBULENT,7.24236E-07,0.00091023,1768.139778
9,1,1,2,20,30,TURBULENT,7.24236E-07,0.001024008,1768.139778
10,1,1,1.75,20,30,LAMINAR,7.24236E-07,0.001170295,1768.139778
11,1,1,1.5,20,30,LAMINAR,7.24236E-07,0.001365345,1768.139778
12,1,1,1.25,20,30,LAMINAR,7.24236E-07,0.001638413,1768.139778
13,1,1,1,20,30,LAMINAR,7.24236E-07,0.002048017,1768.139778
14,1,1,0.75,20,30,LAMINAR,7.24236E-07,0.002730689,1768.139778
15,1,1,0.5,20,30,LAMINAR,7.24236E-07,0.004096034,1768.139778
16,1,2,4,20,45,TURBULENT,7.24268E-07,0.000512004,1768.218537
17,1,2,3.75,20,45,TURBULENT,7.24268E-07,0.000546138,1768.218537
18,1,2,3.5,20,45,TURBULENT,7.24268E-07,0.000585148,1768.218537
19,1,2,3.25,20,45,TURBULENT,7.24268E-07,0.000630159,1768.218537
20,1,2,3,20,45,TURBULENT,7.24268E-07,0.000682672,1768.218537
21,1,2,2.75,20,45,TURBULENT,7.24268E-07,0.000744733,1768.218537
22,1,2,2.5,20,45,TURBULENT,7.24268E-07,0.000819207,1768.218537
23,1,2,2.25,20,45,TURBULENT,7.24268E-07,0.00091023,1768.218537
24,1,2,2,20,45,TURBULENT,7.24268E-07,0.001024008,1768.218537
25,1,2,1.75,20,45,LAMINAR,7.24268E-07,0.001170295,1768.218537
26,1,2,1.5,20,45,LAMINAR,7.24268E-07,0.001365345,1768.218537
27,1,2,1.25,20,45,LAMINAR,7.24268E-07,0.001638413,1768.218537
28,1,2,1,20,45,LAMINAR,7.24268E-07,0.002048017,1768.218537
29,1,2,0.75,20,45,LAMINAR,7.24268E-07,0.002730689,1768.218537
30,1,2,0.5,20,45,LAMINAR,7.24268E-07,0.004096034,1768.218537
31,1,3,4,20,60,TURBULENT,7.24306E-07,0.000512004,1768.311114
32,1,3,3.75,20,60,TURBULENT,7.24306E-07,0.000546138,1768.311114
33,1,3,3.5,20,60,TURBULENT,7.24306E-07,0.000585148,1768.311114
34,1,3,3.25,20,60,TURBULENT,7.24306E-07,0.000630159,1768.311114
35,1,3,3,20,60,TURBULENT,7.24306E-07,0.000682672,1768.311114
36,1,3,2.75,20,60,TURBULENT,7.24306E-07,0.000744733,1768.311114
37,1,3,2.5,20,60,TURBULENT,7.24306E-07,0.000819207,1768.311114
38,1,3,2.25,20,60,TURBULENT,7.24306E-07,0.00091023,1768.311114
39,1,3,2,20,60,TURBULENT,7.24306E-07,0.001024008,1768.311114
40,1,3,1.75,20,60,LAMINAR,7.24306E-07,0.001170295,1768.311114
41,1,3,1.5,20,60,LAMINAR,7.24306E-07,0.001365345,1768.311114
42,1,3,1.25,20,60,LAMINAR,7.24306E-07,0.001638413,1768.311114
43,1,3,1,20,60,LAMINAR,7.24306E-07,0.002048017,1768.311114
44,1,3,0.75,20,60,LAMINAR,7.24306E-07,0.002730689,1768.311114
45,1,3,0.5,20,60,LAMINAR,7.24306E-07,0.004096034,1768.311114
136,1,10,4,50,30,TURBULENT,6.90717E-07,0.000200002,4316.944739
137,1,10,3.75,50,30,TURBULENT,6.90717E-07,0.000213335,4316.944739
138,1,10,3.5,50,30,TURBULENT,6.90717E-07,0.000228573,4316.944739
139,1,10,3.25,50,30,TURBULENT,6.90717E-07,0.000246156,4316.944739
140,1,10,3,50,30,TURBULENT,6.90717E-07,0.000266669,4316.944739
141,1,10,2.75,50,30,TURBULENT,6.90717E-07,0.000290911,4316.944739
