CASE_NUM,alpha,beta,RAE
1,0.873866972916018,0.0527914907119037,0.06649452568546213
2,0.8740532514285824,0.05332566840770786,0.06676147261490169
3,0.8739615583800364,0.05369322627358192,0.06686080818194227
4,0.8737477235154661,0.05454175310851389,0.06716052218468953
5,0.8740269656069926,0.05505314244522436,0.06724064962330567
6,0.8739553908618503,0.05593498420474269,0.06738412627320414
7,0.8739807241773334,0.05742530155761122,0.06770095923974218
8,0.8745224605175101,0.057926440635758136,0.06741008715622497
9,0.8781692763388047,0.05726074554937255,0.06637439905622727
10,0.879585491379725,0.05831270613122275,0.06593073273586231
11,0.8805421491848773,0.05953259706545094,0.06538999287474885
12,0.885810761397994,0.05908033667164769,0.06370441320680251
13,0.890879475531708,0.05854374015772301,0.06170818554171941
14,0.896962534614888,0.05798732012016755,0.059394162289172346
15,0.9030273738208551,0.057693145411754465,0.05699459215585609
16,0.8733555483944861,0.05259071774152835,0.06653705384370948
17,0.8729989094482626,0.05296217290451266,0.06672077531913717
18,0.8729865084759485,0.053692337084213004,0.06707151985528345
19,0.8730561002365649,0.054301431993984295,0.06728997432469612
20,0.8730947030163427,0.054860400493947525,0.0673834980506007
21,0.8727962728165266,0.055928023410119765,0.06764198491006893
22,0.8732329925858653,0.05681762848425742,0.06768718228182076
23,0.8738267661659557,0.057362663663923785,0.06744134617373473
24,0.8746029538184565,0.058769993700796,0.06740756423275118
25,0.8784352305960255,0.05805578612592083,0.06612959432077072
26,0.8800395694192964,0.058983266453993266,0.06544163853649576
27,0.8852002905903658,0.058502370939518766,0.06375900520371046
28,0.8903677391737614,0.05848572265897911,0.062008398458677574
29,0.8969256248981039,0.05755344022974529,0.05953320744558536
30,0.9025733306051668,0.05775169625681098,0.05730829332920648
31,0.8692584421777485,0.05305040023394997,0.06715667220789007
32,0.8689659265127279,0.0539040699518506,0.06759867342677305
33,0.8688231194214748,0.05478928833529201,0.06801563524744557
34,0.8683263633876215,0.05553787378943298,0.06827880378630395
35,0.8686945982709681,0.05620081788406872,0.06842759333196839
36,0.8688705862568264,0.056972888954935574,0.06854218509042505
37,0.8690038986130153,0.0578579571408821,0.06859548076071323
38,0.8726628854044309,0.057509268665943414,0.06785802044410592
39,0.8737397043052293,0.05820845705542055,0.06747206026326719
40,0.8749493726324415,0.059173643372682105,0.06700972959567868
41,0.8799688034719222,0.05802802147336089,0.06531146360253912
42,0.8844029680140935,0.05808940414178221,0.06385053651012765
43,0.8898421620030953,0.0575395934116093,0.06187361585419202
44,0.8958939638484467,0.05715760259154751,0.05962736814593366
45,0.9021360465622634,0.05722239559736614,0.05727334551475668
136,0.8257617220499467,0.0924385312332009,0.06681051303882043
137,0.7894859281523884,0.09416854209088787,0.07040479148745606
138,0.7540432610210374,0.09550495727206426,0.07129135540051822
139,0.7167311054157985,0.09669886807303818,0.07054930732413352
140,0.6705251529219417,0.09623595778022254,0.07429591265636079
141,0.6080818214082305,0.0892706193096906,0.08815424583312183
142,0.5770035750541043,0.05810422947503652,0.10264655863621297
143,0.5807372669863768,0.041992860908130036,0.10286600291012045
144,0.5893553982674095,0.042822798147056695,0.11415709128950818
145,0.6010326850116094,0.04737313169132962,0.12265998168880382
146,0.6196928374601431,0.05290236782211771,0.12689633330297873
147,0.6507016425335519,0.05595847763850126,0.12355877673039774
148,0.6967577703368437,0.053947499207666616,0.11164397727355947
149,0.756756375503675,0.04773285257538279,0.09302801793584196
150,0.8216561962641111,0.04229004702428918,0.07257455664915703
151,0.8566152177411,0.0893849652334216,0.06460204732656515
152,0.8196850318142462,0.09118045881203984,0.07110129769043004
153,0.7760042607469355,0.09354328200195183,0.07487909983167333
154,0.7356189988930315,0.09462863149938106,0.07427774386670406
155,0.6905397347799649,0.09683132463173028,0.07318630225546435
156,0.6334420037245951,0.09528558164132028,0.0794598089625413
157,0.5748779593592761,0.07679124924759656,0.09962630059440016
158,0.5676568886870705,0.04599481214446982,0.10406252667226944
159,0.5746581165343025,0.04271324542234178,0.11409490579886479
160,0.5857510786237304,0.04713733509197521,0.12401543610530277
161,0.6040826683321889,0.052537843288459896,0.12903929677791215
162,0.6348970312495481,0.05614026857593002,0.1264912353933296
163,0.6814194104307687,0.054256159039966334,0.11480712601989702
164,0.7418211749822307,0.04890140893136913,0.09627371453003389
165,0.8107493130752267,0.04208109902713164,0.07467531534194981
166,0.8617793667845031,0.08945697946047232,0.06381964692806717
167,0.8341809279242067,0.09084844400113912,0.06955643897791552
168,0.7856175425890356,0.09331350302957403,0.07536509829633983
169,0.7392627059407139,0.09571889014296864,0.0761790909330493
170,0.6934477588852663,0.09718841325862515,0.07326996901477885
171,0.6381417421643258,0.09640286717824981,0.07730639343065684
172,0.573365816795756,0.08301279827845282,0.096313682094265
173,0.5598788463629424,0.04982055939225827,0.10530521917968012
174,0.5673099261700699,0.042932302858820826,0.11403242720359924
175,0.577346199615205,0.04785520522166664,0.1253116277418303
176,0.5963585477063467,0.05297894920978502,0.13081433530897799
177,0.6269839487288449,0.05625963844333448,0.1287772554755669
178,0.6737020213616508,0.05469135844325723,0.11762402475974565
179,0.733898302669068,0.049808172871460166,0.09967972910042697
180,0.8041330679035001,0.04226231288471549,0.07853064171630947
226,0.8773513555257113,0.12264007333615895,0.16708023349538026
227,0.8827651486101258,0.11723357839370568,0.15407693523014873
228,0.8892167332228014,0.11073513071637753,0.13889077294684526
229,0.8933787847435651,0.10661457144390107,0.1232756658171682
230,0.8963568082239544,0.10364300162643286,0.10753617790294791
231,0.8991456972395084,0.10083458032355952,0.09825383383926328
232,0.899855806365354,0.10013396666662672,0.09383577923560223
233,0.8986380472115865,0.10134601072881533,0.09333372256025692
234,0.8916164951822211,0.10660215068271722,0.09868066566147582
235,0.8700911799699876,0.10870710067162409,0.11213329138096927
236,0.8448343819284173,0.10960595664081507,0.1298521336033018
237,0.8103048270012965,0.11000419835799036,0.15503265368306532
238,0.6900310072921186,0.09320237805503928,0.23127131417027608
239,0.49881218881189693,0.031107244241486143,0.09367531935261776
240,0.6329907216129607,0.027529410240896335,0.08185762654683455
241,0.8868611271512068,0.11313607249302049,0.1376933915709528
242,0.8906302588572272,0.10936022433101833,0.1260021972805372
243,0.894962545359268,0.10503406682184063,0.11292741276907575
244,0.8977950312826878,0.1022009126349735,0.10125466063330468
245,0.8982507684371502,0.1017404193837444,0.09397848469068074
246,0.9006762710075296,0.09932338573785093,0.09081976608310244
247,0.899401006682063,0.10059422184697575,0.09047969619789795
248,0.8965031253294358,0.10349646939428875,0.09305216402214683
249,0.8840060469139278,0.10714314524460067,0.10187505619570024
250,0.8630236604686321,0.11059208603120141,0.11454905264252092
251,0.8386924243023268,0.11345965768385663,0.13101661351148075
252,0.8086171392748418,0.11528582845741542,0.1535142267078783
